"Merchant ID",Merchant,Website,Currency,"Business Categories",MCC,"Risk Level","Sales Volume","Gross Revenue","Chargeback Ratio"
579,"šĮ Ba",https://balarama.lt,EUR,"Charities/nonprofit organizations",,Low,50.00,0.00,0.00
581,ixwor,https://bulletvpn.com,USD,SaaS,,High,2834.83,555.69,0.00
584,utris,"https://babesvitamins.es, https://babesvitamins.hr, https://babesvitamins.it, https://babesvitamins.sk, https://colageno-pele.pt, https://collagene-skin.it, https://curcuma.naturesfinest.it, https://depurarefegato.it, https://figado-saudavel.pt, https://figadosaudavel.naturesfinest.pt, https://hair-vitamins.uk, https://hairvitamins.cz, https://hairvitamins.it, https://higado-saludable.es, https://higadosaludable.naturesfinest.es, https://kurkuma.naturesfinest.si, https://liver-detox.uk, https://liverdetox.cz, https://liverdetox.de, https://nailvitamins.naturesfinest.si, https://naturesfinest.hr, https://naturesfinest.it, https://naturesfinest.si, https://skinlift.cz, https://tea-tox.it, https://teatox.si, https://tiroidesana.it, https://zdrava-jetra.si",EUR,"Beauty and fragrances, Food and drinks, Vitamins and food supplements",,Low,3655.16,359.59,0.00
589,"etan ",https://cellulitix.com,USD,"Beauty and fragrances",,Low,122.41,15.00,0.00
597,"AB ""G",https://saulesgele.lt,EUR,"Flowers and gifts",,Low,594.00,38.11,0.00
599,lobal,https://herbadetox.com,EUR,"Food and drinks",,Low,189.26,2.99,0.00
605,uvial,https://nuvialab.com,USD,"Vitamins and food supplements",,Low,8683.22,513.97,0.00
605,uvial,https://nuvialab.com,EUR,"Vitamins and food supplements",,Low,1530.22,919.30,0.00
606,"OA En","https://sofiagray.com, https://sofiasins.com",USD,"Adult products","5999, 7399",Low,29705.36,8120.54,0.95
606,"OA En","https://sofiagray.com, https://sofiasins.com",GBP,"Adult products","5999, 7399",Low,4767.43,866.36,2.08
606,"OA En","https://sofiagray.com, https://sofiasins.com",EUR,"Adult products","5999, 7399",Low,1321.79,239.90,0.00
610,"šĮ ""K",https://atviraklaipeda.lt,EUR,"Charities/nonprofit organizations",,Low,126.00,11.21,0.00
611,"AB ""T",https://bedroommood.com,EUR,Homeware,,Low,8014.94,618.62,0.00
615,"sI Tu",https://tustinarvai.lt,EUR,"Charities/nonprofit organizations",,Low,4388.54,259.23,0.00
619,ustin,"https://autodiagnostikosiranga.lt, https://diagscantools.com, https://obdeleven.pro",EUR,Electronics,,Low,1607.17,1.50,0.00
620,"NFO I","https://kartusa-toner.si, https://kulshop.si, https://top-igrace.si",EUR,"Baby and children products, Electronics",,Low,79.97,14.44,0.00
630,"evin ","https://babylontraffic.com, https://serpempire.com",USD,"Marketing and advertising",,Medium,16702.86,283.17,0.00
630,"evin ","https://babylontraffic.com, https://serpempire.com",EUR,"Marketing and advertising",,Medium,4398.58,40.14,0.00
634,"AB ""M",https://zaliaarbata.lt,EUR,"Food and drinks",,Low,72.30,0.50,0.00
637,"uzz R","https://buysocialmediamarketing.com, https://buzzvoice.com",USD,"Marketing and advertising",,High,115728.51,11652.72,0.02
648,"AB Sp","https://1010.sil.lt, https://shop.lympo.com, https://sil.lt",EUR,"Clothing and shoes",,High,10040.91,404.45,0.00
649,"IA ""A",https://ardparts.lv,EUR,"Car parts/ accessories",,Low,524.81,1.50,0.00
651,ONMAR,https://kommons.com,USD,"Escort Advertising",,Low,22.50,0.00,0.00
651,ONMAR,https://kommons.com,GBP,"Escort Advertising",,Low,37379.39,2896.78,0.34
652,ietuv,https://redcross.lt,EUR,"Charities/nonprofit organizations",,Low,588.00,42.36,0.00
655,"AB ""K",https://kokosmile.lt,EUR,"Beauty and fragrances",,Low,1674.99,611.93,0.00
660,igita,"https://artsomeness.com, https://exitbar.io",USD,"Adult entertainment, Adult Video, SaaS","7273, 7399",Low,19.98,0.50,0.00
666,"nga M",https://parpochel.com,EUR,Accessories,,Low,95.00,0.33,0.00
667,injab,"https://ninja-bet.de, https://ninjabet.es",EUR,Games,,Low,3558.59,110.20,0.00
677,"B ""Ja",https://petscomfortdesign.com,EUR,"Pet supplies",,Low,9.84,1.92,0.00
686,efixe,"https://libidex.eu, https://viamax.eu, https://vibrolandia.com, https://vibrolandia.es",EUR,"Adult products",,Low,41395.77,263.93,0.00
690,"esna ",https://endovital.com,EUR,"Food and drinks",,Low,238.60,12.22,0.00
692,"AB Si",https://buboo.eu,EUR,"Clothing and shoes",,Low,268.79,7.84,0.00
696,iedri,"https://coinwink.com, https://cryptoclothing.cc, https://cryptologos.cc, https://protected.design",USD,"Clothing and shoes, SaaS",,Low,180.00,3.58,0.00
702,"AB ""D","https://eroklubas.lt, https://pazintys.draugas.lt",EUR,Dating,,Low,4784.00,546.07,0.00
707,"AB Va",https://vetparduotuve.lt,EUR,"Pet supplies",,Low,199.30,0.00,0.00
713,"eb No","https://eurogirlescort.it, https://eurogirlsescort.com, https://eurogirlsescort.cz, https://eurogirlsescort.de, https://eurogirlsescort.es, https://eurogirlsescort.fr, https://eurogirlsescort.ru, https://eurogirlsescort.sp, https://freeescortsite.com, https://worldescortindex.com",USD,"Escort Advertising",,Low,0.00,42.67,0.00
713,"eb No","https://eurogirlescort.it, https://eurogirlsescort.com, https://eurogirlsescort.cz, https://eurogirlsescort.de, https://eurogirlsescort.es, https://eurogirlsescort.fr, https://eurogirlsescort.ru, https://eurogirlsescort.sp, https://freeescortsite.com, https://worldescortindex.com",EUR,"Escort Advertising",,Low,92502.00,2553.97,0.00
722,leepy,"https://allgaytoys.com, https://shop.sleepyboy.com/categories.php, https://sleepyboy.com",GBP,"Adult products, Escort Advertising","5399, 7311",Low,21895.11,492.89,0.00
733,ugust,https://thekoty.com,EUR,Accessories,,Low,1748.07,104.63,0.00
738,SDMed,"https://londonts.com, https://niamodel.com, https://ts-dating.com",EUR,"Escort Advertising",,Medium,58114.70,1869.82,0.00
758,reenB,"https://forzapiu.com, https://vigoking.com, https://viriplus.com",EUR,"Vitamins and food supplements",,High,28475.28,390.87,0.00
760,"AB ""S",https://silart.eu,EUR,"Beauty and fragrances",,Low,1763.24,0.00,0.00
761,"B ""Lė",https://lemodus.lt,EUR,"Clothing and shoes",,Low,327.56,23.67,0.00
762,"AB EN","https://ilmondodegliorsacchiotti.it, https://meskinupasaulis.lt, https://myteddyworld.com",EUR,"Baby and children products",,Low,4263.58,184.55,0.00
763,vatar,"https://unicornorosa.it, https://yoxo.it",EUR,"Adult products",,Low,41669.08,1562.23,0.00
768,inger,https://gtg.com.pl,EUR,Accessories,,Low,194.24,1.00,0.00
770,"AB ""H",https://mjrever.com,EUR,"Clothing and shoes",,Low,7634.20,331.60,0.00
774,"AB ""N",https://lietuviskigaminiai.lt,EUR,"Clothing and shoes",,Low,1970.66,77.07,0.00
784,"onas ",https://floristikosnamai.lt,EUR,"Arts, crafts, and collectibles",,Low,58.00,1.00,0.00
786,"AB Au","https://autowin.com, https://autowin.eu, https://winauto.eu",EUR,"Car parts/ accessories",,Low,52.89,50.50,0.00
787,"I SPO","https://eureka-shop.cz, https://eurekashop.hr, https://eurekashop.si",EUR,"Beauty and fragrances",,Low,833.71,1.52,0.00
790,"AB El",https://elintacharge.com,EUR,Electronics,,Low,2537.43,38.54,0.00
795,oonbu,https://escort-europe.com,EUR,"Escort Advertising",,Low,2259.00,72.80,1.33
796,"AB Ei",https://canni.lt,EUR,"Beauty and fragrances",,Low,1488.01,56.84,0.00
798,"AB ""V",https://vasco.lt,EUR,"Beauty and fragrances",,Low,405.00,17.72,0.00
803,amjan,https://negaroknohtov.si,EUR,"Beauty and fragrances",,Low,590.27,33.72,0.00
808,"AB ""D","https://ayatel.com, https://sipmobile.org, https://supertalk.lt",EUR,SaaS,,,0.00,39.62,0.00
811,ervis,"https://corner69.com, https://corner69.hr, https://flirty.si, https://svetuzitka.com",EUR,"Adult products, Clothing and shoes",,Low,6550.40,1085.23,0.00
830,ivovi,"https://vivozebra.si, https://vivozebra.sk",EUR,"Beauty and fragrances",,Low,10400.14,610.01,0.00
839,rysta,"https://dorotafilipiuk.pl, https://robertmarchel.com",EUR,"Online courses and tutoring",,Low,3652.10,191.07,0.00
841,uroHo,https://eurohoster.org,EUR,SaaS,,High,9404.56,0.00,0.00
845,"MM se","https://kickliker.com, https://postimat.com, https://socialdroid.eu, https://tagimat.com",USD,"Marketing and advertising, SaaS",,Low,13250.01,438.32,0.00
845,"MM se","https://kickliker.com, https://postimat.com, https://socialdroid.eu, https://tagimat.com",EUR,"Marketing and advertising, SaaS",,Low,48.58,0.50,0.00
847,"AB ""S",https://stamperija.eu,EUR,"Arts, crafts, and collectibles",,Low,799.32,9.00,0.00
849,uadag,https://guadagnomatematico.it,EUR,"Online courses and tutoring",,Low,3354.60,449.24,0.00
855,"AB ""K",https://ekoled.com,EUR,"Household supplies",,Low,53.01,0.50,0.00
856,"B ""Au",https://moonstruckstore.com,EUR,Accessories,,Low,1757.02,36.73,0.00
857,ok'ca,https://mokca.si,EUR,"Food and drinks",,Low,505.22,63.43,0.00
861,"RM Gl","https://amztigers.com, https://amztigers.de",EUR,"Marketing and advertising",,Medium,13349.53,0.50,1.03
862,injab,https://ninja-bet.de,EUR,Games,,Low,1172.10,40.13,0.00
873,astig,https://licenzeprogrammi.com,EUR,"Computers, accessories, and services",,Low,1480.31,2.48,0.00
874,"AB ""Ž",https://zirniokrautuvele.lt,EUR,"Food and drinks",,Low,139.13,17.63,0.00
879,inila,https://lanaerunt.com,EUR,"Clothing and shoes",,Low,292.50,5.50,0.00
883,urzem,https://kurzemesseklas.lv,EUR,"Gardening goods",,Low,147.54,19.73,0.00
884,nfoga,https://arkhavencomics.com,USD,"Books and magazines",,Medium,492.38,203.66,2.86
890,"oana ",https://vielaclothing.com,EUR,"Clothing and shoes",,Low,210.00,7.66,0.00
892,ymbio,https://m.lushstories.com,USD,"Adult entertainment",,Medium,1690.90,0.00,0.00
893,axiwe,https://wristbands.eu.com,EUR,Entertainment,,Low,1949.02,1.50,0.00
896,"comp ",https://mcomp.si,EUR,"Computers, accessories, and services",,Low,68.68,18.19,0.00
898,"4 WEB","https://bissoubeauty.com, https://cartflip.ro, https://mistermega.cz, https://mistermega.eu, https://mistermega.gr, https://mistermega.hr, https://mistermega.hu, https://mistermega.it, https://mistermega.si, https://mistermega.sk",EUR,"Beauty and fragrances, Home appliances",,Low,6810.77,486.99,0.00
904,imple,"https://automarketer.pro, https://instafamous.pro, https://instantviews.co",USD,"Marketing and advertising",,Medium,15209.00,60.00,0.25
905,rsual,https://bygentlemen.com,EUR,Dating,,Low,30.00,4.86,0.00
907,"AB ""E",https://kavossinergija.lt,EUR,"Food and drinks",,Low,6.50,0.79,0.00
912,"IA NO",https://esetnod32.lv,EUR,"Service subscriptions",,Low,1235.03,62.99,0.00
921,"B ""Ja","https://babydreams.lt, https://bentleytrikes.com",EUR,"Baby and children products",,Low,379.04,0.50,0.00
926,"AB ""L",https://oxsic.com,EUR,SaaS,,Low,800.25,2.69,0.00
932,iovan,https://taxileader.net,EUR,"Taxi and transportation services",,Low,16635.76,0.00,0.00
934,IMIZE,https://shop.bimize.com,EUR,"Service subscriptions",,Low,54.13,1.77,0.00
936,"AB ""N","https://prezervativi.lv, https://sargiai.lt",EUR,"Adult products",,Low,1752.50,72.49,0.00
