"Merchant ID",Merchant,Website,Currency,"Business Categories",MCC,"Risk Level","Sales Volume","Gross Revenue"
847,"AB ""S",https://stamperija.eu,EUR,"Arts, crafts, and collectibles",,Low,799.32,9.00
849,uadag,https://guadagnomatematico.it,EUR,"Online courses and tutoring",,Low,3408.60,449.24
855,"AB ""K",https://ekoled.com,EUR,"Household supplies",,Low,53.01,0.50
856,"B ""Au",https://moonstruckstore.com,EUR,Accessories,,Low,1891.73,36.73
857,ok'ca,https://mokca.si,EUR,"Food and drinks",,Low,505.22,63.43
861,"RM Gl",https://amztigers.de,EUR,"Marketing and advertising",,Medium,13349.53,0.50
862,injab,https://ninja-bet.de,EUR,Games,,Low,1172.10,40.13
873,astig,https://licenzeprogrammi.com,EUR,"Computers, accessories, and services",,Low,1503.81,2.48
874,"AB ""Ž",https://zirniokrautuvele.lt,EUR,"Food and drinks",,Low,139.13,17.63
879,inila,https://lanaerunt.com,EUR,"Clothing and shoes",,Low,292.50,5.50
883,urzem,https://kurzemesseklas.lv,EUR,"Gardening goods",,Low,147.54,19.73
884,nfoga,https://arkhavencomics.com,USD,"Books and magazines",,Medium,492.38,203.66
890,"oana ",https://vielaclothing.com,EUR,"Clothing and shoes",,Low,210.00,7.66
892,ymbio,https://m.lushstories.com,USD,"Adult entertainment",,Medium,1725.75,0.00
893,axiwe,https://wristbands.eu.com,EUR,Entertainment,,Low,2040.51,1.50
896,"comp ",https://mcomp.si,EUR,"Computers, accessories, and services",,Low,68.68,18.19
898,"4 WEB",https://mistermega.eu,EUR,"Beauty and fragrances, Home appliances",,Low,6907.91,486.99
904,imple,https://instafamous.pro,USD,"Marketing and advertising",,Medium,15561.00,60.00
905,rsual,https://bygentlemen.com,EUR,Dating,,Low,30.00,4.86
907,"AB ""E",https://kavossinergija.lt,EUR,"Food and drinks",,Low,6.50,0.79
912,"IA NO",https://esetnod32.lv,EUR,"Service subscriptions",,Low,1310.95,62.99
921,"B ""Ja",https://bentleytrikes.com,EUR,"Baby and children products",,Low,379.04,0.50
926,"AB ""L",https://oxsico.com,EUR,SaaS,,Low,812.25,2.69
932,iovan,https://taxileader.net,EUR,"Taxi and transportation services",,Low,17085.43,0.00
934,IMIZE,https://shop.bimize.com,EUR,"Service subscriptions",,Low,54.13,1.77
936,"AB ""N",https://sargiai.lt,EUR,"Adult products",,Low,1833.35,72.49
938,"ince ",https://skweezer.net,USD,"Marketing and advertising",,Low,83857.87,100.00
939,"AB ""Š",https://tipsyapp.net,EUR,SaaS,,Medium,102.00,125.13
941,"MM se",https://roximat.com,USD,"Clothing and shoes, Web hosting","5399, 7399",Low,416.00,57.36
946,"AB ""S",https://cupolus.co.uk,EUR,"Home appliances, Household supplies",,Low,89.73,1.26
